list_name,name,label,governorate
district,YE1806,Al Qanawis,YE18
district,YE1807,Az Zaydiyah,YE18
district,YE1808,Al Mighlaf,YE18
district,YE1809,Ad Dahi,YE18
district,YE1810,Bajil,YE18
district,YE1811,Al Hajjaylah,YE18
district,YE1812,Bura,YE18
district,YE1813,Al Marawi'ah,YE18
district,YE1814,Ad Durayhimi,YE18
district,YE1815,As Sukhnah,YE18
district,YE1816,Al Mansuriyah,YE18
district,YE1817,Bayt Al Faqiah,YE18
district,YE1818,Jabal Ra's,YE18
district,YE1819,Hays,YE18
district,YE1820,Al Khawkhah,YE18
district,YE1821,Al Hawak,YE18
district,YE1822,Al Mina,YE18
district,YE1823,Al Hali,YE18
district,YE1824,Zabid,YE18
district,YE1825,Al Garrahi,YE18
district,YE1826,At Tuhayat,YE18
district,YE1901,Rumah,YE19
district,YE1902,Thamud,YE19
district,YE1903,Al Qaf,YE19
district,YE1904,Zamakh wa Manwakh,YE19
district,YE1905,Hagr As Sai'ar,YE19
district,YE1906,Al Abr,YE19
district,YE1907,Al Qatn,YE19
district,YE1908,Shibam,YE19
district,YE1909,Sah,YE19
district,YE1910,Sayun,YE19
district,YE1911,Tarim,YE19
district,YE1912,As Sawm,YE19
district,YE1913,Ar Raydah Wa Qusayar,YE19
district,YE1914,Ad Dis,YE19
district,YE1915,Ash Shihr,YE19
district,YE1916,Ghayl Bin Yamin,YE19
district,YE1917,Ghayl Ba Wazir,YE19
district,YE1918,Daw'an,YE19
district,YE1919,Wadi Al Ayn,YE19
district,YE1920,Rakhyah,YE19
district,YE1921,Amd,YE19
district,YE1922,Adh Dhlia'ah,YE19
district,YE1923,Yabuth,YE19
district,YE1924,Hajr,YE19
district,YE1925,Brom Mayfa,YE19
district,YE1926,Al Mukalla,YE19
district,YE1927,Al Mukalla City,YE19
district,YE1928,Huraidhah,YE19
district,YE2001,Al Hada,YE20
district,YE2002,Jahran,YE20
district,YE2003,Jabal Ash sharq,YE20
district,YE2004,Maghirib Ans,YE20
district,YE2005,Utmah,YE20
district,YE2006,Wusab Al Ali,YE20
district,YE2007,Wusab As Safil,YE20
district,YE2008,Dhamar City,YE20
district,YE2009,Mayfa'at Anss,YE20
district,YE2010,Anss,YE20
district,YE2011,Dawran Aness,YE20
district,YE2012,Al Manar,YE20
district,YE2101,Dhar,YE21
district,YE2102,Al Talh,YE21
district,YE2103,Jardan,YE21
district,YE2104,Arma,YE21
district,YE2105,Usaylan,YE21
district,YE2106,Ain,YE21
district,YE2107,Bayhan,YE21
district,YE2108,Merkhah Al Ulya,YE21
district,YE2109,Merkhah As Sufla,YE21
district,YE2110,Nisab,YE21
district,YE2111,Hatib,YE21
district,YE2112,As Said,YE21
district,YE2113,Ataq,YE21
district,YE2114,Habban,YE21
district,YE2115,Ar Rawdah,YE21
district,YE2116,Mayfa'a,YE21
district,YE2117,Rudum,YE21
district,YE2201,Baqim,YE22
district,YE2202,Qatabir,YE22
district,YE2203,Monabbih,YE22
district,YE2204,Ghamr,YE22
district,YE2205,Razih,YE22
district,YE2206,Shada'a,YE22
district,YE2207,Al Dhaher,YE22
district,YE2208,Haydan,YE22
district,YE2209,Saqayn,YE22
district,YE2210,Majz,YE22
district,YE2211,Sahar,YE22
district,YE2212,As Safra,YE22
district,YE2213,Al Hashwah,YE22
district,YE2214,Kitaf wa Al Boqe'e,YE22
district,YE2215,Sa'adah,YE22
district,YE2301,Hamdan,YE23
district,YE2302,Arhab,YE23
district,YE2303,Nihm,YE23
district,YE2304,Bani Hushaysh,YE23
district,YE2305,Sanhan,YE23
district,YE2306,Bilad Ar Rus,YE23
district,YE2307,Bani Matar,YE23
district,YE2308,Al Haymah Ad Dakhiliyah,YE23
district,YE2309,Al Haymah Al Kharijiyah,YE23
district,YE2310,Manakhah,YE23
district,YE2311,Sa'fan,YE23
district,YE2312,Khwlan,YE23
district,YE2313,Attyal,YE23
district,YE2314,Bani Dhabyan,YE23
district,YE2315,Al Husn,YE23
district,YE2316,Jihanah,YE23
district,YE2401,Dar Sad,YE24
district,YE2402,Ash Shaikh Outhman,YE24
district,YE2403,Al Mansura,YE24
district,YE2404,Al Buraiqeh,YE24
district,YE2405,Attawahi,YE24
district,YE2406,Al Mualla,YE24
district,YE2407,Craiter,YE24
district,YE2408,Khur Maksar,YE24
district,YE2501,Al Had,YE25
district,YE2502,Yafa'a,YE25
district,YE2503,Al Maflahy,YE25
district,YE2504,Yahr,YE25
district,YE2505,Habil Jabr,YE25
district,YE2506,Halimayn,YE25
district,YE2507,Radfan,YE25
district,YE2508,Al Milah,YE25
district,YE2509,Al Musaymir,YE25
district,YE2510,Al Qabbaytah,YE25
district,YE2511,Tur Al Bahah,YE25
district,YE2512,Al Maqatirah,YE25
district,YE2513,Al Madaribah Wa Al Arah,YE25
district,YE2514,Al  Hawtah,YE25
district,YE2515,Tuban,YE25
district,YE2601,Majzar,YE26
district,YE2602,Raghwan,YE26
district,YE2603,Medghal,YE26
district,YE2604,Harib Al Qaramish,YE26
district,YE2605,Bidbadah,YE26
district,YE2606,Sirwah,YE26
district,YE2607,Al Jubah,YE26
district,YE2608,Rahabah,YE26
district,YE2609,Harib,YE26
district,YE2610,Mahliyah,YE26
district,YE2611,Al Abdiyah,YE26
district,YE2612,Marib City,YE26
district,YE2613,Marib,YE26
district,YE2614,Jabal Murad,YE26
district,YE2701,Shibam Kawkaban,YE27
district,YE2702,At Tawilah,YE27
district,YE2703,Ar Rujum,YE27
district,YE2704,Al Khabt,YE27
district,YE2705,Milhan,YE27
district,YE2706,Hufash,YE27
district,YE2707,Bani Sa'd,YE27
district,YE2708,Al Mahwait City,YE27
district,YE2709,Al Mahwait,YE27
district,YE2801,Shahan,YE28
district,YE2802,Hat,YE28
district,YE2803,Hawf,YE28
district,YE2804,Al Ghaydah,YE28
district,YE2805,Man'ar,YE28
district,YE2806,Al Masilah,YE28
district,YE2807,Sayhut,YE28
district,YE2808,Qishn,YE28
district,YE2809,Huswain,YE28
district,YE2901,Harf Sufyan,YE29
district,YE2902,Huth,YE29
district,YE2903,Al Ashah,YE29
district,YE2904,Al Qaflah,YE29
district,YE2905,Shaharah,YE29
district,YE2906,Al Madan,YE29
district,YE2907,Suwayr,YE29
district,YE2908,Habur Zulaymah,YE29
district,YE2909,Dhi Bin,YE29
district,YE2910,Kharif,YE29
district,YE2911,Raydah,YE29
district,YE2912,Jabal Iyal Yazid,YE29
district,YE2913,As Sudah,YE29
district,YE2914,As Sawd,YE29
district,YE2915,Amran,YE29
district,YE2916,Maswar,YE29
district,YE2917,Thula,YE29
district,YE2918,Iyal Surayh,YE29
district,YE2919,Khamir,YE29
district,YE2920,Bani Suraim,YE29
district,YE3001,Juban,YE30
district,YE3002,Damt,YE30
district,YE3003,Qa'atabah,YE30
district,YE3004,Ash Shu'ayb,YE30
district,YE3005,Al Hussein,YE30
district,YE3006,Ad Dhale'e,YE30
district,YE3007,Jahaf,YE30
district,YE3008,Al Azariq,YE30
district,YE3009,Al Husha,YE30
district,YE3101,Bilad At Ta'am,YE31
district,YE3102,As Salafiyah,YE31
district,YE3103,Al Jabin,YE31
district,YE3104,Mazhar,YE31
district,YE3105,Kusmah,YE31
district,YE3106,Al Jafariyah,YE31
district,YE3201,Hidaybu,YE32
district,YE3202,Qulensya Wa Abd Al Kuri,YE32
